iter	RMSE
0	1.945289182
1	1.910604101
2	1.876461159
3	1.845029292
4	1.812630861
5	1.781753988
6	1.750652487
7	1.720387109
8	1.691788025
9	1.662617914
10	1.636024436
11	1.609168991
12	1.583491154
13	1.557287409
14	1.533628209
15	1.510370865
16	1.488625121
17	1.465321833
18	1.442926058
19	1.422090643
20	1.403460778
21	1.382390075
22	1.362271709
23	1.344467527
24	1.326672725
25	1.309625969
26	1.289919638
27	1.273340227
28	1.255925924
29	1.240414119
30	1.224230821
31	1.206531366
32	1.191700672
33	1.178329149
34	1.164967293
35	1.153314514
36	1.139504109
37	1.126890435
38	1.113660845
39	1.100726086
40	1.087043005
41	1.075624601
42	1.064552942
43	1.054499019
44	1.043165467
45	1.031478717
46	1.021392468
47	1.011179422
48	1.001637563
49	0.9927189134
50	0.9837806837
51	0.9747583332
52	0.9653782286
53	0.9563200594
54	0.9479927559
55	0.9399088899
56	0.9311932256
57	0.923667527
58	0.9159625446
59	0.9078749684
60	0.901286315
61	0.8941680837
62	0.8868138758
63	0.8792741169
64	0.8710093131
65	0.8634936841
66	0.8577356144
67	0.8525061609
68	0.8459003142
69	0.8396342221
70	0.8338205368
71	0.8279031629
72	0.8215755964
73	0.8154732143
74	0.8099602259
75	0.8055373035
76	0.8004299238
77	0.7963042312
78	0.7922104611
79	0.7868862935
80	0.7818695221
81	0.775900121
82	0.7722091587
83	0.7678666493
84	0.7626985909
85	0.7575399891
86	0.7531689167
87	0.7482721906
88	0.743409395
89	0.7400917991
90	0.7347379485
91	0.7311406841
92	0.726910149
93	0.7226215332
94	0.7186851746
95	0.713764569
96	0.7094026469
97	0.7062484844
98	0.7028135372
99	0.6989326896
100	0.6954857699
101	0.6913599992
102	0.6876630363
103	0.6840005427
104	0.6808102734
105	0.6770715804
106	0.6740323603
107	0.671100061
108	0.6674576692
109	0.6648438552
110	0.6616012382
111	0.6583776256
112	0.6545378021
113	0.6518438993
114	0.6492123804
115	0.6459507995
116	0.6429728681
117	0.6403115699
118	0.6371427351
119	0.6344655495
120	0.6321804176
121	0.6291927096
122	0.6263972322
123	0.6239293419
124	0.6211628196
125	0.6187885693
126	0.6160050366
127	0.6137862451
128	0.6119839431
129	0.6089735391
130	0.6069604901
131	0.6043933638
132	0.6023793588
133	0.6006125429
134	0.5989462348
135	0.5967465005
136	0.594366197
137	0.5917961519
138	0.5901549439
139	0.5882410763
140	0.5858211223
141	0.5840853678
142	0.5826444871
143	0.5805397828
144	0.5784642855
145	0.5764022865
146	0.5747537671
147	0.5733708214
148	0.5715346423
149	0.5698591807
150	0.56830042
151	0.5660206386
152	0.5639711895
153	0.5621629338
154	0.5605224775
155	0.5588730424
156	0.5574643223
157	0.5558453684
158	0.5542360057
159	0.5522318956
160	0.5501916294
161	0.5480614895
162	0.5464739256
163	0.5445264024
164	0.5430297534
165	0.5415198734
166	0.5400880226
167	0.5382807863
168	0.5370949888
169	0.5362318879
170	0.5343631262
171	0.532949187
172	0.5313255771
173	0.5293727224
174	0.5278937958
175	0.5263535868
176	0.5244449668
177	0.5231311479
178	0.5214258065
179	0.5199121698
180	0.5186850304
181	0.5180562425
182	0.5167166421
183	0.5152669225
184	0.5145285757
185	0.5131366222
186	0.5109948542
187	0.5100489264
188	0.5091104181
189	0.5078500331
190	0.5070119267
191	0.5055275933
192	0.5040684335
193	0.5029104646
194	0.5021729994
195	0.5004151995
196	0.4992684926
197	0.4984226846
198	0.4969604342
199	0.4958688459
200	0.4950556879
201	0.4937557202
202	0.4927262836
203	0.4912438163
204	0.4900642956
205	0.4890185037
206	0.4882253218
207	0.4874399845
208	0.4865636106
209	0.4858034819
210	0.484719067
211	0.4837661346
212	0.4825251163
213	0.4809232774
214	0.4795528747
215	0.4784174998
216	0.4772649301
217	0.4759538919
218	0.4747942239
219	0.4735649649
220	0.4728418083
221	0.4721470675
222	0.4711977135
223	0.4702362089
224	0.4691668689
225	0.4681788879
226	0.4670050478
227	0.4662266894
228	0.4647190351
229	0.4631695639
230	0.4619318359
231	0.4614094527
232	0.460131244
233	0.4593028432
234	0.4586813107
235	0.4580254079
236	0.4574739817
237	0.4565572076
238	0.4557357366
239	0.4555946782
240	0.4547465426
241	0.4539274764
242	0.4527118768
243	0.4520577552
244	0.4510188933
245	0.4504221635
246	0.4492673405
247	0.4481654855
248	0.4469508419
249	0.4461088323
250	0.4452988338
251	0.4443940489
252	0.4436273282
253	0.4426423703
254	0.4419577248
255	0.4410678654
256	0.4401425493
257	0.4394074059
258	0.4384505387
259	0.4378250164
260	0.4369934244
261	0.4363529312
262	0.4351514123
263	0.4343252446
264	0.433646778
265	0.4331161753
266	0.4319363033
267	0.4310749362
268	0.430410407
269	0.4299856587
270	0.4294640296
271	0.4278359502
272	0.4268982327
273	0.4261864675
274	0.4257034304
275	0.425019927
276	0.4241206409
277	0.4234964203
278	0.422378667
279	0.4214670749
280	0.4211084137
281	0.42065667
282	0.4202684303
283	0.4196669023
284	0.4188227254
285	0.4182484667
286	0.4173568288
287	0.4167169161
288	0.4157396399
289	0.4153381417
290	0.4144807098
291	0.4139322843
292	0.4133526831
293	0.4127412621
294	0.4124848336
295	0.4120573296
296	0.4114301088
297	0.4108895836
298	0.4105994797
299	0.4095670889
300	0.4087236102
301	0.4078225645
302	0.4076316636
303	0.4073953903
304	0.4070790224
305	0.4068425335
306	0.4065820897
307	0.4063482964
308	0.4055094718
309	0.4052805482
310	0.4045978672
311	0.403998673
312	0.4027453334
313	0.4014487298
314	0.4009654385
315	0.4000972454
316	0.3999496363
317	0.399720031
318	0.3990165497
319	0.3978201965
320	0.3975048059
321	0.3973439802
322	0.3965249618
323	0.3963718024
324	0.3952122182
325	0.3942527402
326	0.3936139155
327	0.3934098167
328	0.3927500419
329	0.3918098332
330	0.3907960806
331	0.3900756729
332	0.3898747149
333	0.3890830468
334	0.3888795694
335	0.3878566284
336	0.3877319271
337	0.3868821014
338	0.3861782756
339	0.3852311879
340	0.3844909019
341	0.3842941319
342	0.383323099
343	0.3828539762
344	0.3826896835
345	0.3822989428
346	0.3811149479
347	0.3803169066
348	0.3801681462
349	0.3799378666
350	0.3798262455
351	0.3791252391
352	0.3782577436
353	0.3780747053
354	0.3773572771
355	0.3772796616
356	0.3763561662
357	0.3758238657
358	0.3757479415
359	0.3751844195
360	0.3741159787
361	0.3734105876
362	0.3725235541
363	0.3717867755
364	0.3712360459
365	0.3711292856
366	0.3709678747
367	0.3704691602
368	0.3699673287
369	0.369284458
370	0.3691873094
371	0.3686110643
372	0.3684999346
373	0.367660955
374	0.367593616
375	0.3674386784
376	0.3667156291
377	0.3662255741
378	0.3660800473
379	0.3654506105
380	0.3653891366
381	0.3648429341
382	0.3647034286
383	0.3641919618
384	0.3640820585
385	0.3635293021
386	0.3629549995
387	0.3622252005
388	0.3615370614
389	0.3614789841
390	0.3608846998
391	0.3602886118
392	0.3602334259
393	0.3595254605
394	0.3594696915
395	0.3584344946
396	0.3576297902
397	0.3574752293
398	0.3574209404
399	0.3568820276
400	0.3563222025
401	0.3555009416
402	0.3554023999
403	0.3553055674
404	0.3549674631
405	0.3543215782
406	0.3542736698
407	0.3538632249
408	0.3537433655
409	0.3531989188
410	0.3522105119
411	0.3516937545
412	0.3516049124
413	0.3508908441
414	0.3502258618
415	0.3495035689
416	0.3490615531
417	0.348684603
418	0.3480342138
419	0.3479224331
420	0.3474295666
421	0.3466837113
422	0.3459276877
423	0.3449740457
424	0.3443615751
425	0.3438512898
426	0.3434495894
427	0.3429407077
428	0.3421969901
429	0.3417925533
430	0.3417196149
431	0.3413305599
432	0.3407344458
433	0.3401575833
434	0.3400769026
435	0.339653883
436	0.3393024664
437	0.3389039458
438	0.338833193
439	0.3379585854
440	0.3371793586
441	0.3371098376
442	0.3370422154
443	0.3361767699
444	0.3356999368
445	0.335212564
446	0.3345795929
447	0.334171486
448	0.3336581244
449	0.3330732675
450	0.3326202265
451	0.3325451551
452	0.3324802966
453	0.3319085423
454	0.3315543869
455	0.3311292428
456	0.3304553139
457	0.3298763293
458	0.3296838663
459	0.3292654271
460	0.3285920239
461	0.3281702482
462	0.3277392822
463	0.3272341433
464	0.3268884762
465	0.3268181089
466	0.3263923925
467	0.3263313255
468	0.3256748786
469	0.3256155514
470	0.3252588468
471	0.3250837089
472	0.3245775925
473	0.3245197609
474	0.3240630197
475	0.3236194545
476	0.3233306548
477	0.32294209
478	0.32288591
479	0.322355328
480	0.3217133383
481	0.3211146082
482	0.3205189423
483	0.3202162297
484	0.3194907015
485	0.3193354412
486	0.3189130001
487	0.3183860581
488	0.3178896696
489	0.3175353484
490	0.3170771315
491	0.3169679856
492	0.3168773713
493	0.316327826
494	0.3158159022
495	0.3149717583
496	0.314910846
497	0.3144293126
498	0.3137762984
499	0.3132487742
500	0.3127354564
501	0.3123764715
502	0.311923517
503	0.3116759102
504	0.3112407582
505	0.3111538513
506	0.3107008777
507	0.310068062
508	0.309576223
509	0.3089887144
510	0.308717778
511	0.3083134968
512	0.3077335024
513	0.307445029
514	0.3070783033
515	0.3069854738
516	0.3067721802
517	0.3064518952
518	0.3064128537
519	0.3060885797
520	0.3060049571
521	0.3056962441
522	0.3056295208
523	0.3052992103
524	0.3047873422
525	0.3045161592
526	0.3040996365
527	0.3036387225
528	0.3032178934
529	0.302544152
530	0.3024970537
531	0.3022152388
532	0.3019686399
533	0.3014382902
534	0.3009008729
535	0.30044141
536	0.3000753511
537	0.2998387972
538	0.299590613
539	0.2990669807
540	0.2987779943
541	0.2983804765
542	0.298339951
543	0.2983004632
544	0.2976887924
545	0.2973776069
546	0.297171538
547	0.2965255515
548	0.2962045137
549	0.2957170493
550	0.2950804998
551	0.2947709512
552	0.2945100444
553	0.2942906107
554	0.2942343927
555	0.2939869035
556	0.2937011343
557	0.2933101393
558	0.29325543
559	0.293201881
560	0.2928738348
561	0.292464848
562	0.2921918391
563	0.2919807706
564	0.291598308
565	0.2913796369
566	0.2908888073
567	0.2905434012
568	0.290135147
569	0.2898788726
570	0.2894105771
571	0.2893474347
572	0.2888214768
573	0.2882893583
574	0.2881330826
575	0.287777921
576	0.2874696228
577	0.2871034049
578	0.2870616522
579	0.2866383139
580	0.286234717
581	0.2861644081
582	0.2858349106
583	0.2856238881
584	0.2850519046
585	0.2845278381
586	0.2844837298
587	0.2841055435
588	0.2837974816
589	0.2834770188
590	0.2833162202
591	0.2831162436
592	0.2827999839
593	0.2826127806
594	0.2823649442
595	0.281908736
596	0.2818724627
597	0.2815624956
598	0.2814839086
599	0.281448918
600	0.2810286639
601	0.280968751
602	0.2809331912
603	0.2804749498
604	0.2803107283
605	0.2802610386
606	0.2799122464
607	0.2796397984
608	0.27932781
609	0.2788126523
610	0.2785211805
611	0.278422221
612	0.2783363607
613	0.2782677141
614	0.278153482
615	0.2780990047
616	0.277749303
617	0.2774121481
618	0.2773204316
619	0.2772472622
620	0.2771862725
621	0.2768465855
622	0.2765592361
623	0.2764693719
624	0.2761721997
625	0.2759011853
626	0.2753540284
627	0.2750476282
628	0.2748845526
629	0.274587881
630	0.2744579458
631	0.2744124534
632	0.2741537085
633	0.273904998
634	0.2737213144
635	0.2734551763
636	0.2732536921
637	0.2731205262
638	0.2730547436
639	0.2725714719
640	0.2721514437
641	0.2717997079
642	0.2715283329
643	0.2712868173
644	0.2709914236
645	0.2706535945
646	0.270451947
647	0.2702733067
648	0.2699456121
649	0.2696610684
650	0.2694626873
651	0.2693962544
652	0.2692634757
653	0.2689474329
654	0.2686265818
655	0.2682783335
656	0.2680195729
657	0.2678043846
658	0.2675296955
659	0.2672693887
660	0.2671962907
661	0.2668080791
662	0.2664813734
663	0.2662338772
664	0.2659172502
665	0.2655528674
666	0.2655133278
667	0.2652402258
668	0.265138649
669	0.2649159923
670	0.2646445126
671	0.2645559262
672	0.2643571781
673	0.2642107991
674	0.2639450883
675	0.2637122105
676	0.2635751474
677	0.2634647142
678	0.2631216574
679	0.262721743
680	0.2625987573
681	0.2624719745
682	0.2622566052
683	0.262042924
684	0.2618818323
685	0.2615151461
686	0.2612277742
687	0.2611594011
688	0.2610934533
689	0.2607140575
690	0.2605100425
691	0.2604157359
692	0.2602705866
693	0.2601826255
694	0.2601452172
695	0.2600697743
696	0.2599031326
697	0.25946986
698	0.2592136358
699	0.2589605047
700	0.2586881393
701	0.2584494393
702	0.2582239448
703	0.258198265
704	0.25798018
705	0.2578553252
706	0.2575718746
707	0.2573314543
708	0.2570903784
709	0.2567706711
710	0.2566223479
711	0.2563126162
712	0.2559234433
713	0.2558483802
714	0.2556184703
715	0.2554080301
716	0.254992074
717	0.2548066897
718	0.2545358552
719	0.2544497754
720	0.2542466749
721	0.2540751374
722	0.253890769
723	0.2538073755
724	0.2536916865
725	0.253472713
726	0.2531463437
727	0.2526566497
728	0.2524512767
729	0.252268813
730	0.2521848689
731	0.2517989855
732	0.2515630405
733	0.2512819524
734	0.2510801771
735	0.2509323175
736	0.250837195
737	0.2506101618
738	0.2504217811
739	0.2503958749
740	0.25029326
741	0.2500023298
742	0.2497265625
743	0.2495452413
744	0.2493570127
745	0.2488292578
746	0.248796184
747	0.2486177824
748	0.2484383802
749	0.2482421886
750	0.2481103538
751	0.2479083433
752	0.2475482374
753	0.2471328728
754	0.2468576501
755	0.2467743499
756	0.2465857507
757	0.2462410777
758	0.2460389703
759	0.2458250179
760	0.245579065
761	0.2454391027
762	0.245333969
763	0.2450496975
764	0.2447876792
765	0.244609759
766	0.2443612104
767	0.2441835938
768	0.243786265
769	0.243470324
770	0.2432527992
771	0.2429564893
772	0.2426625689
773	0.2424792144
774	0.2423586891
775	0.242103545
776	0.2418142601
777	0.2416178939
778	0.2414364793
779	0.2412322403
780	0.2409234198
781	0.2406349911
782	0.2404724849
783	0.2401985448
784	0.2399692649
785	0.2397423782
786	0.239385355
787	0.2392208109
788	0.2390238232
789	0.238891073
790	0.2387088061
791	0.2385510841
792	0.2384055515
793	0.2381614232
794	0.2379786471
795	0.2376825121
796	0.2375459566
797	0.2373764771
798	0.2371914517
799	0.237118992
800	0.2369669261
801	0.2367717247
802	0.2365250405
803	0.2363789775
804	0.2361761295
805	0.2360923783
806	0.2359494821
807	0.235742129
808	0.235607524
809	0.23548158
810	0.2354263098
811	0.2351012987
812	0.2348783419
813	0.2346716381
814	0.2343579604
815	0.2341457624
816	0.2339536313
817	0.2337851356
818	0.2336916853
819	0.2335640468
820	0.2333234982
821	0.2330957151
822	0.2329544963
823	0.2327962285
824	0.2325223993
825	0.2324395343
826	0.2321555387
827	0.231769962
828	0.2316926269
829	0.2316272542
830	0.2314261102
831	0.2313407009
832	0.2312771099
833	0.2310252249
834	0.230914665
835	0.2307327087
836	0.230577767
837	0.2304676541
838	0.2303160284
839	0.2301215038
840	0.2299826717
841	0.2298074302
842	0.2297577836
843	0.2294831993
844	0.2294165055
845	0.2292655832
846	0.2292052812
847	0.2291337347
848	0.2289630091
849	0.2288378535
850	0.228630041
851	0.2285340681
852	0.2283657531
853	0.228169702
854	0.2278638286
855	0.2277870251
856	0.2276009359
857	0.2274502471
858	0.227292021
859	0.2270930825
860	0.2269594837
861	0.2268554465
862	0.2267044681
863	0.2265412812
864	0.2263595974
865	0.2260940345
866	0.2259303331
867	0.2257603976
868	0.2256481633
869	0.2254274024
870	0.2252351427
871	0.2251703474
872	0.2248210441
873	0.2246208884
874	0.2244272469
875	0.2242202762
876	0.2240816938
877	0.2239793413
878	0.2237800175
879	0.2236309004
880	0.223439257
881	0.2232731464
882	0.2230728224
883	0.2229515939
884	0.2227710544
885	0.2224962394
886	0.2223828036
887	0.2222146385
888	0.2220321315
889	0.2219108185
890	0.2216404603
891	0.2215010172
892	0.2213355326
893	0.2211906061
894	0.2210593674
895	0.2209978097
896	0.2208046729
897	0.2206691759
898	0.2205027614
899	0.2203498341
900	0.2202323442
901	0.220063912
902	0.2198813737
903	0.2197688125
904	0.2196371926
905	0.219333667
906	0.2191608937
907	0.219023152
908	0.2188783597
909	0.218694339
910	0.218583003
911	0.2184078928
912	0.218210299
913	0.2181271087
914	0.2178866292
915	0.217666182
916	0.2175836554
917	0.2174301766
918	0.2173600778
919	0.2172399409
920	0.2170448529
921	0.216945796
922	0.2168271288
923	0.2167034402
924	0.2165638642
925	0.2164403985
926	0.2163315897
927	0.2160448577
928	0.2158931942
929	0.2157151983
930	0.2156143735
931	0.2155082884
932	0.2153788805
933	0.2153177815
934	0.2152241899
935	0.2150970651
936	0.2150706373
937	0.2148290475
938	0.2146635534
939	0.2145456735
940	0.21438676
941	0.2141627527
942	0.2140567882
943	0.2139526475
944	0.213841393
945	0.2136381059
946	0.2134935132
947	0.2133458122
948	0.2132170492
949	0.2130942351
950	0.2129956826
951	0.2127355146
952	0.2126828905
953	0.2125639828
954	0.2123492117
955	0.2122351395
956	0.2121508922
957	0.2120457205
958	0.2118998253
959	0.2116896719
