iter	Passed	Remaining
0	3	4039
1	6	4124
2	10	4083
3	13	4026
4	16	3970
5	19	3945
6	23	3937
7	26	3943
8	29	3926
9	33	3936
10	36	3930
11	39	3936
12	43	3927
13	46	3916
14	49	3917
15	52	3909
16	56	3919
17	59	3923
18	63	3921
19	66	3922
20	69	3928
21	75	4020
22	78	4019
23	83	4067
24	89	4194
25	93	4221
26	97	4257
27	101	4242
28	105	4242
29	108	4244
30	112	4240
31	115	4229
32	119	4221
33	122	4208
34	126	4200
35	129	4191
36	135	4247
37	140	4300
38	146	4362
39	150	4353
40	153	4340
41	157	4329
42	161	4357
43	165	4349
44	168	4336
45	172	4321
46	176	4321
47	186	4483
48	195	4592
49	201	4641
50	209	4724
51	216	4784
52	223	4843
53	234	4969
54	243	5066
55	247	5055
56	252	5059
57	256	5050
58	261	5054
59	265	5053
60	271	5066
61	281	5172
62	304	5491
63	327	5810
64	337	5898
65	350	6021
66	357	6040
67	362	6042
68	367	6019
69	371	5997
70	382	6081
71	390	6114
72	394	6096
73	399	6073
74	403	6048
75	407	6027
76	411	6008
77	415	5983
78	419	5950
79	429	6017
80	438	6060
81	442	6038
82	447	6017
83	452	6006
84	458	6015
85	463	6003
86	467	5979
87	475	6006
88	485	6058
89	490	6049
90	494	6029
91	498	6008
92	503	5993
93	507	5975
94	511	5954
95	515	5933
96	525	5981
97	533	6003
98	538	5988
99	542	5967
100	546	5949
101	552	5946
102	558	5948
103	562	5930
104	568	5927
105	571	5901
106	575	5875
107	578	5851
108	584	5850
109	588	5833
110	592	5817
111	597	5805
112	601	5789
113	606	5773
114	610	5760
115	616	5762
116	620	5746
117	625	5732
118	629	5721
119	633	5705
120	638	5694
121	642	5675
122	647	5671
123	668	5799
124	677	5830
125	683	5824
126	686	5801
127	690	5778
128	693	5760
129	697	5738
130	700	5715
131	703	5695
132	707	5673
133	715	5691
134	722	5697
135	727	5691
136	730	5670
137	734	5650
138	737	5628
139	740	5610
140	744	5591
141	747	5570
142	751	5551
143	756	5546
144	763	5555
145	768	5550
146	774	5546
147	777	5528
148	781	5509
149	784	5490
150	787	5472
151	791	5457
152	795	5440
153	798	5422
154	801	5404
155	805	5390
156	810	5387
157	816	5387
158	822	5383
159	825	5367
160	829	5351
161	832	5334
162	836	5319
163	839	5304
164	842	5287
165	846	5272
166	850	5258
167	860	5287
168	866	5283
169	870	5274
170	874	5259
171	877	5244
172	880	5228
173	884	5215
174	887	5199
175	891	5185
176	894	5171
177	898	5156
178	901	5142
179	906	5134
180	909	5123
181	914	5112
182	918	5102
183	921	5088
184	924	5073
185	928	5061
186	931	5046
187	935	5033
188	938	5022
189	942	5008
190	945	4996
191	953	5006
192	957	4997
193	962	4988
194	966	4980
195	969	4967
196	973	4954
197	977	4944
198	980	4932
199	984	4923
200	987	4909
201	991	4900
202	995	4887
203	1000	4884
204	1004	4876
205	1008	4867
206	1013	4860
207	1016	4849
208	1020	4840
209	1024	4827
210	1028	4819
211	1031	4807
212	1036	4801
213	1040	4793
214	1049	4807
215	1056	4813
216	1063	4816
217	1067	4806
218	1070	4796
219	1074	4786
220	1078	4777
221	1081	4765
222	1085	4754
223	1088	4743
224	1092	4734
225	1097	4729
226	1101	4723
227	1106	4715
228	1110	4707
229	1113	4696
230	1116	4685
231	1120	4673
232	1124	4664
233	1127	4654
234	1130	4643
235	1133	4631
236	1137	4620
237	1141	4615
238	1147	4615
239	1149	4597
240	1154	4594
241	1158	4584
242	1161	4573
243	1164	4562
244	1168	4552
245	1171	4544
246	1175	4534
247	1178	4524
248	1181	4514
249	1185	4506
250	1189	4497
251	1192	4487
252	1196	4477
253	1199	4467
254	1203	4459
255	1206	4449
256	1209	4439
257	1213	4430
258	1216	4421
259	1220	4412
260	1224	4404
261	1227	4394
262	1230	4384
263	1234	4377
264	1238	4369
265	1255	4409
266	1266	4425
267	1271	4422
268	1274	4412
269	1278	4402
270	1281	4393
271	1285	4384
272	1288	4375
273	1291	4365
274	1295	4356
275	1299	4348
276	1302	4339
277	1306	4333
278	1311	4330
279	1317	4329
280	1322	4323
281	1325	4314
282	1328	4304
283	1332	4297
284	1336	4290
285	1342	4291
286	1347	4285
287	1350	4276
288	1353	4267
289	1357	4258
290	1360	4250
291	1364	4243
292	1368	4235
293	1371	4226
294	1374	4217
295	1378	4210
296	1383	4204
297	1386	4196
298	1389	4188
299	1393	4180
300	1396	4172
301	1400	4163
302	1403	4154
303	1406	4145
304	1410	4138
305	1415	4135
306	1419	4129
307	1423	4121
308	1426	4114
309	1430	4106
310	1433	4098
311	1437	4090
312	1440	4082
313	1444	4074
314	1447	4066
315	1450	4058
